ticket_id,customer_id,created_at,closed_at,product,category,priority
f9b3b1ea-d191-4d53-a689-096bfe10a013,98400e17-49f2-49a8-90eb-b74c5ec59746,2026-08-28T04:50:00,2026-08-28T10:47:32.885390,analytics,bug,high
311a1079-09a4-401a-ab53-8e8f7f77cba6,5c7fde82-84ce-4ce3-bbd9-06ec3a5af373,2026-07-13T16:49:00,2026-07-14T12:26:43.914807,analytics,account,low
479db081-972a-4b65-b382-629e347aa7f6,7d75a53b-0ca1-4671-9cec-ec6ada4e5e28,2026-07-03T21:25:00,2026-07-04T06:12:30.950594,analytics,bug,medium
038164c7-f4ff-4602-89e4-1fb50114afb6,f57fb9a5-6a5e-4d35-9578-f13daa52ec2c,2026-08-24T19:07:00,2026-08-25T09:42:32.047278,analytics,account,medium
f1c6de5f-9788-469c-8344-ce0b14cfa3b9,a0b12e7e-56ce-4a7e-afe1-867ccbaa73f5,2026-08-19T14:26:00,2026-08-19T17:42:04.069386,messaging,billing,critical
1b925601-67f3-4432-9b22-d79f3ca5e691,8a955ef8-1561-4680-a8d9-249b390159c7,2026-07-01T14:11:00,2026-07-01T20:24:22.694640,payments,performance,high
e26db19d-6619-42d1-bf7c-1f6331eb98cb,d31050dd-2fc2-40e5-b191-cd7434647699,2026-07-20T14:21:00,2026-07-21T06:11:19.289081,identity,bug,low
5a737572-0029-4160-8964-a61d776c342c,aa13c2f9-9e1c-4bd8-9b76-8f5ae2d70542,2026-08-02T16:12:00,2026-08-03T02:39:25.294270,identity,account,high
bd4044e7-5b53-45ca-b21d-325a2e031c21,0efae675-70df-4f85-af5a-6ccf9de228fe,2026-08-11T19:37:00,2026-08-12T14:33:12.232907,analytics,performance,low
a38638fa-dd90-4645-9129-e662a7f533e6,50a9003a-c127-4045-bc07-1dd6d392fced,2026-08-27T05:17:00,2026-08-27T19:44:17.503324,identity,account,medium
8f7124f8-6799-4534-9d3c-aeea3cb6d113,f8f44c7f-0802-4a2f-ba9f-224682430000,2026-07-05T04:06:00,2026-07-06T04:29:44.588322,payments,configuration,low
a8e4207d-f7f9-42aa-8751-336751c6f93f,a4c28814-d52a-437e-aed0-eb4f3b3bdde9,2026-07-10T04:38:00,2026-07-10T08:02:25.391998,messaging,configuration,critical
04ea997e-8285-47e7-8326-57131d0d3d00,efc2c8a4-df8d-450c-8ff8-5e9992630271,2026-08-03T04:59:00,2026-08-03T15:12:00.844475,payments,configuration,high
c0d83dbd-fa51-4736-a9b9-ba92128ebf83,25e27330-8922-4db2-ae39-46728a355d58,2026-07-25T07:13:00,2026-07-25T19:37:34.842688,analytics,account,medium
77543d80-6517-4953-b860-67ef76c6d105,a9c3a691-724f-4b65-887a-bf98d0f40172,2026-07-23T06:47:00,2026-07-23T09:05:35.436529,payments,performance,critical
506c7396-0e5c-42fe-91f6-c0b5a4621754,ddaba122-d3b0-4ea0-8d5e-e835fdb5ac10,2026-08-28T06:06:00,2026-08-29T05:43:16.167114,payments,configuration,low
e136012e-669e-4db4-b79d-a9c0f791c64f,4534bfe8-e023-4f59-b1dd-e947b4480c53,2026-07-03T22:07:00,2026-07-04T02:38:46.231830,identity,performance,high
024fed18-8a14-4660-89a5-443ffd0e4ec4,b7fce1e3-0eab-44f4-8425-cff0f587d9ac,2026-08-21T15:01:00,2026-08-21T17:42:12.824531,identity,billing,critical
b2c7ce3f-5b72-4f2c-aa33-7f8de2c42c7d,4ed5e3e0-5d11-4b49-9e3d-d06c512ebff8,2026-08-28T12:19:00,2026-08-28T17:26:01.353202,messaging,billing,high
a5dbfb07-be49-4272-9678-fc4492146b38,a9aa8196-1a5d-410a-991c-893297ce11d9,2026-08-21T02:19:00,2026-08-21T06:30:36.487143,identity,account,critical
1a62778e-70e3-4a6e-91a2-b73b29eb91e3,5b95c79e-dbc9-4409-b3aa-662e91079ab0,2026-08-06T08:30:00,2026-08-06T20:36:51.535887,identity,billing,medium
0e24a856-ff18-49af-a46a-b491d6cfa823,f2a322c7-b04c-4596-90cd-f90746419684,2026-07-09T06:35:00,2026-07-09T20:06:45.669002,analytics,bug,medium
f31e6e9e-db58-4b0e-bf2b-fe205bf3e542,d2bc1012-d99e-4f31-8e84-83a0ce335a18,2026-08-08T10:13:00,2026-08-08T13:30:15.595026,analytics,performance,critical
ae25556a-83a9-42f7-9e8e-6cf38c634f4e,1d85febc-340e-4f15-ae1b-7880f42c67a0,2026-08-12T14:28:00,2026-08-13T11:42:42.364985,identity,account,low
8857baec-77fa-4d84-bdc4-aaa14edc2022,83ba8c6e-589b-4cd5-aa33-318d326c6cca,2026-07-11T10:14:00,2026-07-12T00:30:58.808336,identity,configuration,low
682cf91d-d4d8-4f73-8fa1-876f0a960739,b69d8def-1806-44f2-988e-25eaa594b17a,2026-07-15T09:30:00,2026-07-15T21:16:30.377247,messaging,bug,high
c574fe00-8113-4761-a5d1-d9661a2f0e54,ac4ef041-2f7b-429d-aab8-d9045d1737d6,2026-07-17T06:16:00,2026-07-17T14:06:02.656401,analytics,configuration,medium
cdaf00fa-958f-4f7d-a07e-ab8f09f2a13a,d6443b28-81ce-41d8-8392-fb19b8ea8d27,2026-07-15T16:54:00,2026-07-16T00:48:31.844391,analytics,account,high
310e163f-bfbb-404f-8670-1fb3f220b673,1d8fe99f-83e5-48b3-868a-b4dd7d90b680,2026-07-11T04:22:00,2026-07-11T11:03:42.367193,identity,configuration,medium
cf3f665f-44cc-499c-af75-03a6ced74a66,ec07c38f-1ef0-47aa-85b6-3cf8489544c8,2026-08-21T15:24:00,2026-08-21T19:20:53.051137,analytics,bug,critical
af2456cc-7dba-4c85-b30f-b65bc9474fb2,11f95920-f2f1-4d22-9347-13e8a8f4557c,2026-08-18T11:42:00,2026-08-18T19:30:46.738333,payments,billing,critical
474b2b98-4eed-4ddf-893b-9aeec37e174f,9fc72276-7af7-4e77-888a-408c5145f878,2026-07-16T00:43:00,2026-07-16T05:06:35.119385,identity,account,critical
e5a58fc8-7d12-4252-9709-5dcb829ecfd1,b6cbe79f-e895-4296-8064-12a862d77732,2026-08-19T02:06:00,2026-08-19T10:10:25.703493,payments,configuration,critical
add55928-0e62-4435-974f-a1e4b14874db,94ed4f79-4fda-4933-93c6-86cd2af278f2,2026-08-29T03:40:00,2026-08-29T05:31:46.845315,identity,performance,critical
323e3ab3-adfb-4a26-8c15-0f092d804c90,11b85148-704e-4363-a1c9-e9bb257de646,2026-07-21T10:51:00,2026-07-22T06:26:22.404956,analytics,configuration,low
b74795a9-5ff1-433a-b4d5-50e9d783a487,ba3600db-daa6-427b-9ab0-543fe5fbace5,2026-07-21T22:41:00,2026-07-22T20:25:28.093336,payments,bug,low
0c879080-ac21-4c9a-9ec6-2c82ce1d20f0,73af315a-f582-46d8-95d5-21d5a079192b,2026-07-06T08:36:00,2026-07-07T09:04:24.373936,payments,bug,low
810d0027-be95-4556-8d95-25e1f4eedf1b,8b34e033-6cb4-4364-8380-5b054e10d3fc,2026-07-07T10:47:00,2026-07-07T12:55:33.757520,payments,configuration,critical
2da10f5a-bfe4-4d94-b811-aaebeca3bd7e,5145d515-2491-467b-a86d-60577aed2dbb,2026-07-13T01:02:00,2026-07-13T04:57:20.967576,messaging,billing,critical
